"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R30,R1,R3,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R31";"R_0201";17;"10K";;;
2;"P4";"USB_Micro-B";1;"USB_OTG";;;
3;"D12,D4,D5,D6,D7,D8,D9,D10,D11,D13,D14,D15,D16,D17";"LED_0402";14;"LED";;;
4;"U6";"TPS22929";1;"TPS22929";;;
5;"P1";"BMP280";1;"BMP280";;;
6;"B1";"BUZZ";1;"BUZZ";;;
7;"X1";"TC2030-MCP-NL";1;"TC2030-MCP-NL";;;
8;"D2,D3,D1,D18";"D_0603";4;"D_Schottky";;;
9;"U2";"RFD77101";1;"RFD77101";;;
10;"C1,C4,C5";"C_0201";3;"1.0uF";;;
11;"U1";"PCA9685_QFN";1;"PCA9685";;;
12;"R2,R9";"R_0201";2;"4.7K";;;
13;"R32";"R_0201";1;"20";;;
14;"Q1";"FC6946010R";1;"FC6946010R";;;
15;"P6";"BAT";1;"CONN_01X03";;;
16;"Q2";"SOT-23";1;"Q_NPN_BCE";;;
17;"R4,R5";"R_0201";2;"330";;;
18;"R6,R7";"R_0201";2;"220";;;
19;"R8";"R_0201";1;"R";;;
20;"U3";"P_SWITCH";1;"P_SWITCH";;;
21;"U4";"STBC08";1;"STBC08";;;
22;"U5";"LP5907";1;"LP5907";;;
23;"V1";"VIB";1;"VIB";;;
